"","THC.Open","THC.High","THC.Low","THC.Close","THC.Volume","THC.Adjusted"
"2007-01-03",7.02,7.38,7,7.14,1181400,28.56
"2007-01-04",7.16,7.17,7.08,7.11,764800,28.44
"2007-01-05",7.1,7.14,7.05,7.1,788700,28.4
"2007-01-08",7.14,7.29,7.1,7.19,959600,28.76
"2007-01-09",7.23,7.28,7.13,7.18,819800,28.72
"2007-01-10",7.15,7.29,7.1,7.26,774800,29.04
"2007-01-11",7.27,7.3,7.24,7.28,700800,29.12
"2007-01-12",7.3,7.39,7.25,7.34,666300,29.36
"2007-01-16",7.37,7.52,7.35,7.49,920200,29.96
"2007-01-17",7.5,7.56,7.41,7.49,1000600,29.96
"2007-01-18",7.66,7.68,7.46,7.51,1027200,30.04
"2007-01-19",7.56,7.61,7.48,7.58,1073100,30.32
"2007-01-22",7.59,7.6,7.34,7.53,922800,30.12
"2007-01-23",7.53,7.68,7.41,7.53,1022700,30.12
"2007-01-24",7.5,7.5,7.26,7.33,1449000,29.32
"2007-01-25",7.32,7.39,7.11,7.22,1031000,28.88
"2007-01-26",7.22,7.26,7.07,7.07,975100,28.28
"2007-01-29",7.1,7.19,7.07,7.13,1105000,28.52
"2007-01-30",7.14,7.17,7.02,7.05,793000,28.2
"2007-01-31",7.09,7.14,7.05,7.06,688800,28.24
"2007-02-01",7.06,7.18,6.98,7.16,817700,28.64
"2007-02-02",7.16,7.19,7,7.02,517000,28.08
"2007-02-05",7.11,7.23,7.07,7.23,1070100,28.92
"2007-02-06",7.25,7.31,7.15,7.23,1017000,28.92
"2007-02-07",7.23,7.37,7.19,7.36,691600,29.44
"2007-02-08",7.36,7.4,7.24,7.29,556300,29.16
"2007-02-09",7.28,7.31,7.16,7.19,604600,28.76
"2007-02-12",7.2,7.26,7.1,7.15,437800,28.6
"2007-02-13",7.15,7.2,6.97,7.07,1094700,28.28
"2007-02-14",7.08,7.23,7.06,7.19,726000,28.76
"2007-02-15",7.19,7.38,7.19,7.35,717300,29.4
