"","ABBV.Open","ABBV.High","ABBV.Low","ABBV.Close","ABBV.Volume","ABBV.Adjusted"
"2013-01-02",34.92,35.4,34.1,35.12,13767900,33.51
"2013-01-03",35,35,34.16,34.83,16739300,33.23
"2013-01-04",34.62,34.89,34.25,34.39,21372100,32.81
"2013-01-07",34.15,35.45,34.15,34.46,17897100,32.88
"2013-01-08",34.29,34.64,33.36,33.71,17863300,32.16
"2013-01-09",33.61,33.95,33.61,33.9,18800400,32.34
"2013-01-10",33.66,34,33.33,34,15658100,32.44
"2013-01-11",33.59,33.9,33.35,33.85,11191500,32.68
"2013-01-14",34.01,34.25,33.8,34.09,11584900,32.91
"2013-01-15",33.71,34.72,33.71,34.6,13040200,33.4
"2013-01-16",34.47,35.54,34.45,35.54,16512700,34.31
"2013-01-17",35.75,36.7,35.75,36.42,14424800,35.16
"2013-01-18",36.43,37.32,36.04,37.32,17842200,36.03
"2013-01-22",36.98,37.25,35.93,36.42,15809700,35.16
"2013-01-23",36.91,37.84,36.5,37.8,10981600,36.49
"2013-01-24",37.79,38.52,37.23,37.46,11327100,36.16
"2013-01-25",37.52,37.84,36.64,37.6,8934600,36.3
"2013-01-28",37.65,37.87,36.71,36.89,7140100,35.61
"2013-01-29",36.71,37.46,36.25,37.31,8838500,36.02
"2013-01-30",36.81,37.53,36.81,36.93,10841800,35.65
"2013-01-31",36.84,36.93,36.27,36.69,10720700,35.42
"2013-02-01",36.84,37.2,36.52,37.18,9527500,35.89
"2013-02-04",36.64,37.3,36.55,37.28,6348000,35.99
"2013-02-05",37.42,37.73,37.18,37.2,7284400,35.91
"2013-02-06",36.96,37.28,36.86,37.14,5738900,35.85
"2013-02-07",37.57,37.57,35.8,36.42,9872500,35.16
"2013-02-08",36.37,36.42,35.83,36.25,13858700,35
"2013-02-11",36.13,36.18,35.75,35.85,6032100,34.61
"2013-02-12",35.77,35.9,35.2,35.42,7473800,34.19
"2013-02-13",35.42,35.57,35.15,35.27,4859800,34.05
"2013-02-14",35.05,36.73,35.01,36.57,7570100,35.3
"2013-02-15",36.93,37.81,36.93,37.58,13296300,36.28
"2013-02-19",37.54,38.33,37.11,38.19,8292700,36.87
"2013-02-20",38.16,39.13,37.61,38.61,8096400,37.27
"2013-02-21",38.49,39.03,38.19,38.78,7260900,37.44
"2013-02-22",38.79,38.85,38.14,38.46,4490400,37.13
"2013-02-25",38.54,38.61,37.37,37.37,4665600,36.08
"2013-02-26",37.6,37.6,36.96,37.09,4463000,35.81
"2013-02-27",36.97,36.98,36.4,36.73,12238400,35.46
"2013-02-28",36.66,37.14,36.5,36.92,10321000,35.64
"2013-03-01",36.8,38.07,36.55,37.81,8929400,36.5
"2013-03-04",37.53,38.25,37.53,38.24,5420800,36.92
"2013-03-05",38.45,38.57,37.29,37.51,6650400,36.21
"2013-03-06",37.56,37.86,37.37,37.74,5489500,36.43
"2013-03-07",37.65,38.01,37.44,37.49,4442500,36.19
"2013-03-08",37.64,37.65,37.16,37.34,4114500,36.05
"2013-03-11",37.25,38.15,37.08,37.67,4614400,36.37
"2013-03-12",37.7,38.3,37.05,37.17,6523900,35.88
"2013-03-13",37.2,37.59,37.04,37.17,3710600,35.88
"2013-03-14",37.43,37.59,36.86,37.56,9859700,36.26
"2013-03-15",37.44,38.54,37.28,38.5,12208300,37.17
"2013-03-18",38.05,38.49,37.99,38.16,5178700,36.84
"2013-03-19",38.25,38.4,37.84,38.36,5108400,37.03
"2013-03-20",38.5,39.19,38.41,39.06,7072900,37.71
"2013-03-21",38.82,38.97,38.48,38.49,4736100,37.16
"2013-03-22",38.57,38.97,38.3,38.97,3323400,37.62
"2013-03-25",39.12,39.52,38.93,39.32,6065000,37.96
"2013-03-26",39.57,40.52,39.57,40.21,7249500,38.82
"2013-03-27",40.22,40.29,39.66,40.15,4274800,38.76
"2013-03-28",40.26,40.8,39.78,40.78,7263400,39.37
"2013-04-01",39.96,41.14,39.96,41.12,5740000,39.7
"2013-04-02",41.22,41.22,40.52,40.71,5510700,39.3
"2013-04-03",40.75,41.45,40.35,40.57,4122100,39.17
"2013-04-04",40.77,41.78,40.62,41.6,20687600,40.16
"2013-04-05",41.31,41.5,41.09,41.31,14089800,39.88
"2013-04-08",41.27,41.87,41.07,41.77,16449200,40.32
"2013-04-09",41.96,43.56,41.8,42.55,8673900,41.08
"2013-04-10",42.65,43.77,42.5,43.62,7809200,42.11
"2013-04-11",43.42,43.71,43.11,43.2,6494100,42.09
"2013-04-12",42.97,43.29,42.62,43.09,4199800,41.98
"2013-04-15",42.87,43.03,41.41,41.44,7152500,40.38
"2013-04-16",41.67,42.53,41.13,42.45,6998000,41.36
"2013-04-17",42.14,42.43,41.42,42.24,5046200,41.16
"2013-04-18",42.37,42.64,41.89,42.32,5009000,41.23
"2013-04-19",42.51,42.58,42.2,42.39,6493200,41.3
"2013-04-22",43,44.83,42.88,44.2,8531300,43.07
"2013-04-23",44.61,46.32,44.4,45.14,9378100,43.98
"2013-04-24",45.14,45.34,43.94,44.32,5541300,43.18
"2013-04-25",44.75,44.79,43.76,44.24,5236900,43.1
"2013-04-26",44.95,46.31,44.75,45.84,10096800,44.66
"2013-04-29",45.83,45.93,45.05,45.23,6024700,44.07
"2013-04-30",45.05,46.23,45.01,46.05,6798600,44.87
"2013-05-01",45.74,46.09,45.55,45.55,6398100,44.38
"2013-05-02",45.68,45.68,43.86,43.99,9649400,42.86
"2013-05-03",44.31,44.77,43.83,44.68,4641200,43.53
"2013-05-06",44.95,44.95,44.15,44.59,4085700,43.45
"2013-05-07",44.5,45,44.42,44.91,3745600,43.76
"2013-05-08",45.01,45.05,43.39,43.49,6973200,42.37
"2013-05-09",43.34,44.45,43.25,44.24,5046900,43.1
"2013-05-10",44.21,45.01,44.2,45.01,4455800,43.85
"2013-05-13",44.79,44.79,44.17,44.54,3738400,43.4
"2013-05-14",44.09,45.52,44.09,45.35,5760300,44.19
"2013-05-15",45.72,46.93,45.48,46.03,6702500,44.85
"2013-05-16",46.06,46.9,46.01,46.21,4605300,45.02
"2013-05-17",46.03,47.34,45.85,47.17,5244800,45.96
"2013-05-20",47.12,47.14,46.07,46.26,3537800,45.07
"2013-05-21",46.19,46.96,46.17,46.54,4708800,45.35
"2013-05-22",46.46,48,45.85,46.76,5203500,45.56
"2013-05-23",46.12,46.95,46.02,46.59,3306200,45.39
"2013-05-24",46.25,46.48,45.31,45.44,4511700,44.27
"2013-05-28",45.89,46.04,44.7,45.39,6181800,44.22
"2013-05-29",44.89,45.18,43.79,43.88,6908400,42.75
"2013-05-30",44.07,45.12,44.07,44.55,4852200,43.41
"2013-05-31",44.27,44.69,42.68,42.69,9308800,41.59
"2013-06-03",42.88,43.58,42.75,43.36,7176800,42.25
"2013-06-04",43.42,44.47,43.38,43.63,4528400,42.51
"2013-06-05",43.49,43.9,42.69,43.04,4801300,41.94
"2013-06-06",43.22,43.57,42.65,43.5,4261300,42.38
"2013-06-07",43.72,44.27,43.5,44,5463200,42.87
"2013-06-10",44.33,44.33,43.22,43.92,4702700,42.79
"2013-06-11",43.31,44.05,43.05,43.59,3574800,42.47
"2013-06-12",43.91,44,42.72,42.77,3742600,41.67
"2013-06-13",42.42,43.2,40.1,43.15,6096500,42.04
"2013-06-14",42.98,43.5,42.5,43.21,4078500,42.1
"2013-06-17",43.4,43.5,42.68,43.01,3457700,41.91
"2013-06-18",42.97,43.56,42.63,43.54,3644900,42.42
"2013-06-19",43.56,43.83,43.01,43.04,3663300,41.94
"2013-06-20",42.65,42.78,40.91,41.06,7474900,40.01
"2013-06-21",41.66,42.71,41.2,42.62,9825700,41.53
"2013-06-24",42.07,42.4,41.32,41.89,6042400,40.81
"2013-06-25",42.15,42.77,41.61,42.63,4686900,41.54
"2013-06-26",43.1,43.61,43.03,43.38,4733700,42.27
"2013-06-27",43.56,43.98,42.74,43.13,5163900,42.02
"2013-06-28",42.53,42.97,41.32,41.34,10753100,40.28
"2013-07-01",41.4,41.93,41.07,41.61,4588200,40.54
"2013-07-02",41.58,42.57,41.58,42.21,4365900,41.13
"2013-07-03",41.88,42.31,41.61,42.23,2417500,41.15
