"","XOM.Open","XOM.High","XOM.Low","XOM.Close","XOM.Volume","XOM.Adjusted"
"2007-04-16",77.64,78.22,77.04,78.17,20518400,66.36
"2007-04-17",78.27,78.74,77.95,78.4,22772800,66.56
"2007-04-18",78.17,78.4,77.76,78.2,17428800,66.39
"2007-04-19",77.93,78.01,77.15,77.46,19090600,65.76
"2007-04-20",78.38,79.8,78,79.76,41108500,67.71
"2007-04-23",79.5,79.98,79.1,79.2,23617400,67.23
"2007-04-24",79,79.35,78.5,78.6,24864200,66.73
"2007-04-25",78.84,80.2,78.76,79.92,28126000,67.85
"2007-04-26",80.03,80.86,79.57,80.55,25949800,68.38
"2007-04-27",80.24,80.75,79.88,80.36,16462700,68.22
"2007-04-30",80.3,80.88,79.38,79.38,21750000,67.39
"2007-05-01",79.5,79.99,79.05,79.66,24303200,67.63
"2007-05-02",79.83,80.19,79.37,79.82,17602400,67.76
"2007-05-03",79.83,80.92,79.8,80.68,17854800,68.49
"2007-05-04",81,81.76,80.22,80.55,19889200,68.38
"2007-05-07",80.5,81.13,80.22,80.83,20896300,68.62
"2007-05-08",80.57,81.41,80.26,81.38,17957200,69.09
"2007-05-09",81.19,81.45,80.4,81.42,19709500,69.12
"2007-05-10",81.06,81.06,79.31,79.39,20753700,67.69
"2007-05-11",79.69,81.23,79.63,81.23,18837800,69.26
"2007-05-14",81.21,81.62,80.73,81.25,17667200,69.27
"2007-05-15",81.01,81.78,80.95,81.13,17169600,69.17
"2007-05-16",80.84,81.49,80.31,81.45,16386200,69.44
"2007-05-17",81.25,82.44,81.01,81.8,18843500,69.74
"2007-05-18",82.14,83.33,82.08,83.26,25009900,70.99
"2007-05-21",83.42,84.32,83.3,83.59,25096700,71.27
"2007-05-22",83.4,84.14,82.73,82.77,19085700,70.57
"2007-05-23",83.12,83.62,82.69,82.99,19886100,70.76
"2007-05-24",83.18,83.84,81.89,82.28,21976500,70.15
"2007-05-25",82.66,83.68,82.66,83.51,17840700,71.2
"2007-05-29",83.27,83.29,81.91,82.62,19247900,70.44
"2007-05-30",82.18,84.1,81.96,84,26464100,71.62
"2007-05-31",83.9,84.25,83.12,83.17,21049000,70.91
"2007-06-01",83.56,84.24,83.47,84.22,20384500,71.81
"2007-06-04",83.96,84.44,83.8,84.22,16477200,71.81
"2007-06-05",83.95,84.6,83.65,84.26,21209100,71.84
"2007-06-06",84.17,84.35,83.05,83.62,21351000,71.29
"2007-06-07",83.4,84.47,81.76,81.96,29228600,69.88
"2007-06-08",81.77,82.71,81.23,82.68,23397000,70.49
"2007-06-11",82.68,83.85,82.34,83.06,16637900,70.82
"2007-06-12",82.77,83.31,81.95,82,21789100,69.91
"2007-06-13",82.32,83.5,82.25,83.35,27139900,71.06
"2007-06-14",83.45,84.97,83.45,84.77,19593300,72.27
"2007-06-15",85.07,86.45,85.04,85.94,30131400,73.27
"2007-06-18",86.09,86.58,85.86,86.36,17747800,73.63
"2007-06-19",86.19,86.43,85.71,85.84,19530400,73.19
"2007-06-20",85.88,85.94,82.77,82.82,27906400,70.61
"2007-06-21",83.36,84.68,83.12,84.3,32010000,71.87
