"","YHOO.Open","YHOO.High","YHOO.Low","YHOO.Close","YHOO.Volume","YHOO.Adjusted"
"2007-01-03",25.85,26.26,25.26,25.61,26352700,25.61
"2007-01-04",25.64,26.92,25.52,26.85,32512200,26.85
"2007-01-05",26.7,27.87,26.66,27.74,64264600,27.74
"2007-01-08",27.7,28.04,27.43,27.92,25713700,27.92
"2007-01-09",28,28.05,27.41,27.58,25621500,27.58
"2007-01-10",27.48,28.92,27.44,28.7,40240000,28.7
"2007-01-11",28.76,29.37,28.7,29.2,28457500,29.2
"2007-01-12",28.98,29.5,28.49,29.45,20971100,29.45
"2007-01-16",29.88,29.88,28.79,29.29,24448400,29.29
"2007-01-17",29.4,29.4,28.81,29.05,17796100,29.05
"2007-01-18",28.92,28.99,27.82,28.12,23869400,28.12
"2007-01-19",27.93,28.34,27.55,27.64,24757700,27.64
"2007-01-22",27.85,27.9,27.18,27.42,23199800,27.42
"2007-01-23",27.42,27.54,26.88,26.96,43728100,26.96
"2007-01-24",28.34,29.2,28.22,28.94,81017500,28.94
"2007-01-25",28.68,29.05,28.13,28.21,28356200,28.21
"2007-01-26",28.33,28.52,27.96,28.04,21334800,28.04
"2007-01-29",28.05,28.21,27.73,27.87,16859000,27.87
"2007-01-30",27.87,28.39,27.61,28.04,13576600,28.04
"2007-01-31",28.04,28.48,27.82,28.31,14100300,28.31
"2007-02-01",28.68,28.71,28.15,28.35,17905200,28.35
"2007-02-02",28.57,28.92,28.45,28.77,16483100,28.77
"2007-02-05",28.67,28.8,28.36,28.56,11163300,28.56
"2007-02-06",28.61,29.56,28.6,29.35,24506800,29.35
"2007-02-07",29.35,30.15,29.12,29.89,29162600,29.89
"2007-02-08",29.75,30.24,29.73,30.08,15561700,30.08
"2007-02-09",30.07,30.16,29.51,29.74,18172200,29.74
"2007-02-12",29.29,29.77,29.05,29.17,18316200,29.17
"2007-02-13",29.37,29.68,29.26,29.56,12802300,29.56
"2007-02-14",29.69,30.86,29.64,30.66,30821100,30.66
"2007-02-15",30.82,31.65,30.69,31.25,28160300,31.25
"2007-02-16",31,32,31,31.91,36774800,31.91
"2007-02-20",31.8,32.21,31.39,32.01,20026500,32.01
"2007-02-21",31.74,31.77,31.22,31.65,27999200,31.65
"2007-02-22",31.6,32.08,31.32,31.6,15485100,31.6
"2007-02-23",31.6,32.18,31.41,32.1,21533500,32.1
"2007-02-26",32.8,32.84,30.85,32.11,28295200,32.11
"2007-02-27",31.38,31.64,30.24,30.95,31505200,30.95
"2007-02-28",30.86,31.47,30.09,30.86,30487800,30.86
"2007-03-01",30.13,31.23,30,30.86,24012900,30.86
"2007-03-02",30.54,30.89,30.28,30.42,18136600,30.42
"2007-03-05",30.18,31.9,30.14,30.31,21469000,30.31
"2007-03-06",30.89,31.06,30.52,30.8,33472600,30.8
"2007-03-07",30.95,31.03,30.33,30.39,16014300,30.39
"2007-03-08",30.82,31.04,30.58,30.71,13715100,30.71
"2007-03-09",29.85,30.15,28.79,29.12,72749900,29.12
"2007-03-12",29.3,30.11,29.29,29.99,35991600,29.99
"2007-03-13",29.77,30.24,29.42,29.56,18263800,29.56
"2007-03-14",29.63,30.04,29.26,29.86,23604900,29.86
"2007-03-15",29.81,30.07,29.78,30.06,15440900,30.06
"2007-03-16",30.02,30.11,29.72,29.88,19799300,29.88
"2007-03-19",30,30.19,29.92,30.03,9983800,30.03
"2007-03-20",30,30.35,29.94,30.33,12203800,30.33
"2007-03-21",30.33,31.39,30.21,31.29,26667300,31.29
"2007-03-22",31.36,31.44,30.85,31.26,12989800,31.26
"2007-03-23",31.33,31.7,31.16,31.36,12727900,31.36
"2007-03-26",31.25,31.74,31.24,31.66,12907000,31.66
"2007-03-27",31.56,31.66,31.24,31.55,9403100,31.55
"2007-03-28",31.45,31.7,31.25,31.41,13162500,31.41
"2007-03-29",31.71,31.73,30.83,31.34,13815000,31.34
"2007-03-30",31.21,31.6,31.02,31.29,9425000,31.29
"2007-04-02",31.22,31.4,30.93,31.28,8668800,31.28
"2007-04-03",31.41,32,31.41,31.72,12324600,31.72
"2007-04-04",31.61,31.87,31.48,31.62,7836200,31.62
"2007-04-05",32,32.09,31.72,31.96,13878100,31.96
"2007-04-09",32.01,32.24,31.6,31.64,12408000,31.64
"2007-04-10",31.64,32.02,31.6,31.69,12797600,31.69
"2007-04-11",31.65,31.73,30.9,31.17,16141100,31.17
"2007-04-12",31.26,31.42,31.1,31.21,13904800,31.21
"2007-04-13",31.15,31.5,30.96,31.41,12006300,31.41
"2007-04-16",31.68,31.79,31.24,31.61,14359100,31.61
"2007-04-17",31.98,32.14,31.71,32.09,43223800,32.09
