"","S.Open","S.High","S.Low","S.Close","S.Volume","S.Adjusted"
"2013-07-11",6,6.31,5.91,6.28,40009800,6.28
"2013-07-12",6.45,7.14,6.38,6.45,258055200,6.45
"2013-07-15",6.64,6.75,6.47,6.72,43097300,6.72
"2013-07-16",6.79,6.82,6.41,6.48,40198200,6.48
"2013-07-17",6.46,6.48,6.2,6.25,64456300,6.25
"2013-07-18",6.19,6.24,5.97,6.05,42165900,6.05
"2013-07-19",6.01,6.14,6,6.07,23539600,6.07
"2013-07-22",6.12,6.12,5.9,5.92,27979700,5.92
"2013-07-23",5.95,5.96,5.61,5.85,45276500,5.85
"2013-07-24",5.93,5.97,5.77,5.77,23980900,5.77
"2013-07-25",5.8,5.84,5.7,5.82,16026200,5.82
"2013-07-26",5.83,5.85,5.73,5.74,18111100,5.74
"2013-07-29",5.8,5.84,5.65,5.74,19666800,5.74
"2013-07-30",5.84,6.17,5.81,6.16,66848200,6.16
"2013-07-31",6.13,6.17,5.96,5.96,32344400,5.96
"2013-08-01",6.05,6.46,6,6.38,53852700,6.38
"2013-08-02",6.41,6.77,6.4,6.67,42126800,6.67
"2013-08-05",6.58,6.9,6.5,6.88,31059300,6.88
"2013-08-06",6.9,7.04,6.89,6.97,43648500,6.97
"2013-08-07",6.98,7.03,6.71,6.92,19844900,6.92
"2013-08-08",6.95,6.98,6.8,6.94,12792400,6.94
"2013-08-09",6.9,7.26,6.89,7.25,27076500,7.25
"2013-08-12",7.21,7.21,7.04,7.11,13183000,7.11
"2013-08-13",7.12,7.15,6.95,7.01,16162900,7.01
"2013-08-14",7.07,7.1,6.96,7,11912100,7
"2013-08-15",6.96,7.01,6.94,6.96,16386700,6.96
"2013-08-16",6.95,7.04,6.91,6.92,16087100,6.92
"2013-08-19",6.95,6.97,6.81,6.91,17064900,6.91
"2013-08-20",6.89,6.98,6.89,6.97,9805700,6.97
"2013-08-21",6.9,6.97,6.9,6.96,11752800,6.96
"2013-08-22",6.95,7,6.9,6.92,6942200,6.92
"2013-08-23",6.93,6.98,6.9,6.96,6136400,6.96
"2013-08-26",6.93,6.98,6.89,6.91,8599100,6.91
"2013-08-27",6.9,6.91,6.71,6.75,22131200,6.75
"2013-08-28",6.69,6.74,6.65,6.66,13281900,6.66
"2013-08-29",6.66,6.84,6.65,6.76,19073100,6.76
"2013-08-30",6.82,6.82,6.54,6.71,15719900,6.71
"2013-09-03",6.78,6.86,6.63,6.68,9261900,6.68
"2013-09-04",6.66,6.72,6.58,6.65,9550600,6.65
"2013-09-05",6.63,6.68,6.45,6.48,12664300,6.48
"2013-09-06",6.57,6.57,6.4,6.47,14230000,6.47
"2013-09-09",6.44,6.51,6.32,6.37,15189900,6.37
"2013-09-10",6.38,6.42,6.26,6.33,28672600,6.33
"2013-09-11",6.35,6.53,6.32,6.5,19568900,6.5
"2013-09-12",6.42,6.83,6.42,6.69,24029000,6.69
"2013-09-13",6.7,6.87,6.64,6.72,17339100,6.72
"2013-09-16",6.74,6.83,6.61,6.64,15762100,6.64
"2013-09-17",6.59,6.6,6.37,6.39,29793500,6.39
"2013-09-18",6.37,6.45,6.25,6.44,24870300,6.44
